"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","y3xstf02utn0ftkvgw2u","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",9,"directedRandom"
"2","y3xstf02utn0ftkvgw2u","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",8,"directedRandom"
"3","y3xstf02utn0ftkvgw2u","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"4","y3xstf02utn0ftkvgw2u","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",8,"directedRandom"
"5","y3xstf02utn0ftkvgw2u","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"6","y3xstf02utn0ftkvgw2u","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"7","y3xstf02utn0ftkvgw2u","SQLite","ArtistSimilarity","PKCColumnR","IMPAIRED","true",4,"directedRandom"
"8","y3xstf02utn0ftkvgw2u","SQLite","ArtistSimilarity","NNCA","NORMAL","true",6,"directedRandom"
"9","y3xstf02utn0ftkvgw2u","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"10","y3xstf02utn0ftkvgw2u","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"11","y3xstf02utn0ftkvgw2u","SQLite","ArtistSimilarity","UCColumnA","EQUIVALENT","false",6,"directedRandom"
"12","y3xstf02utn0ftkvgw2u","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"13","y3xstf02utn0ftkvgw2u","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"14","u57pug2lylkcdwwymtuh","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",9,"directedRandom"
"15","u57pug2lylkcdwwymtuh","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",8,"directedRandom"
"16","u57pug2lylkcdwwymtuh","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"17","u57pug2lylkcdwwymtuh","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",8,"directedRandom"
"18","u57pug2lylkcdwwymtuh","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",7,"directedRandom"
"19","u57pug2lylkcdwwymtuh","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",7,"directedRandom"
"20","u57pug2lylkcdwwymtuh","SQLite","ArtistSimilarity","PKCColumnR","IMPAIRED","true",5,"directedRandom"
"21","u57pug2lylkcdwwymtuh","SQLite","ArtistSimilarity","NNCA","NORMAL","true",6,"directedRandom"
"22","u57pug2lylkcdwwymtuh","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"23","u57pug2lylkcdwwymtuh","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"24","u57pug2lylkcdwwymtuh","SQLite","ArtistSimilarity","UCColumnA","EQUIVALENT","false",6,"directedRandom"
"25","u57pug2lylkcdwwymtuh","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"26","u57pug2lylkcdwwymtuh","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"27","d5ulyytaq46x3kzzqlgf","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",10,"directedRandom"
"28","d5ulyytaq46x3kzzqlgf","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",11,"directedRandom"
"29","d5ulyytaq46x3kzzqlgf","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"30","d5ulyytaq46x3kzzqlgf","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"31","d5ulyytaq46x3kzzqlgf","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",7,"directedRandom"
"32","d5ulyytaq46x3kzzqlgf","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"33","d5ulyytaq46x3kzzqlgf","SQLite","ArtistSimilarity","PKCColumnR","IMPAIRED","true",4,"directedRandom"
"34","d5ulyytaq46x3kzzqlgf","SQLite","ArtistSimilarity","NNCA","NORMAL","true",6,"directedRandom"
"35","d5ulyytaq46x3kzzqlgf","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"36","d5ulyytaq46x3kzzqlgf","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"37","d5ulyytaq46x3kzzqlgf","SQLite","ArtistSimilarity","UCColumnA","EQUIVALENT","false",6,"directedRandom"
"38","d5ulyytaq46x3kzzqlgf","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"39","d5ulyytaq46x3kzzqlgf","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"40","teinwepb2yvztteuwh0y","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",10,"directedRandom"
"41","teinwepb2yvztteuwh0y","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",8,"directedRandom"
"42","teinwepb2yvztteuwh0y","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"43","teinwepb2yvztteuwh0y","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"44","teinwepb2yvztteuwh0y","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",7,"directedRandom"
"45","teinwepb2yvztteuwh0y","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",7,"directedRandom"
"46","teinwepb2yvztteuwh0y","SQLite","ArtistSimilarity","PKCColumnR","IMPAIRED","true",4,"directedRandom"
"47","teinwepb2yvztteuwh0y","SQLite","ArtistSimilarity","NNCA","NORMAL","true",6,"directedRandom"
"48","teinwepb2yvztteuwh0y","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"49","teinwepb2yvztteuwh0y","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"50","teinwepb2yvztteuwh0y","SQLite","ArtistSimilarity","UCColumnA","EQUIVALENT","false",6,"directedRandom"
"51","teinwepb2yvztteuwh0y","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"52","teinwepb2yvztteuwh0y","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"53","al2l9lz8qlygrzfe0srq","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",9,"directedRandom"
"54","al2l9lz8qlygrzfe0srq","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",7,"directedRandom"
"55","al2l9lz8qlygrzfe0srq","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"56","al2l9lz8qlygrzfe0srq","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"57","al2l9lz8qlygrzfe0srq","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"58","al2l9lz8qlygrzfe0srq","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"59","al2l9lz8qlygrzfe0srq","SQLite","ArtistSimilarity","PKCColumnR","IMPAIRED","true",4,"directedRandom"
"60","al2l9lz8qlygrzfe0srq","SQLite","ArtistSimilarity","NNCA","NORMAL","true",6,"directedRandom"
"61","al2l9lz8qlygrzfe0srq","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"62","al2l9lz8qlygrzfe0srq","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"63","al2l9lz8qlygrzfe0srq","SQLite","ArtistSimilarity","UCColumnA","EQUIVALENT","false",6,"directedRandom"
"64","al2l9lz8qlygrzfe0srq","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"65","al2l9lz8qlygrzfe0srq","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"66","gjympwqvmt1dxyeh4ypy","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",9,"directedRandom"
"67","gjympwqvmt1dxyeh4ypy","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",8,"directedRandom"
"68","gjympwqvmt1dxyeh4ypy","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"69","gjympwqvmt1dxyeh4ypy","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"70","gjympwqvmt1dxyeh4ypy","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",7,"directedRandom"
"71","gjympwqvmt1dxyeh4ypy","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"72","gjympwqvmt1dxyeh4ypy","SQLite","ArtistSimilarity","PKCColumnR","IMPAIRED","true",4,"directedRandom"
"73","gjympwqvmt1dxyeh4ypy","SQLite","ArtistSimilarity","NNCA","NORMAL","true",6,"directedRandom"
"74","gjympwqvmt1dxyeh4ypy","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"75","gjympwqvmt1dxyeh4ypy","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"76","gjympwqvmt1dxyeh4ypy","SQLite","ArtistSimilarity","UCColumnA","EQUIVALENT","false",6,"directedRandom"
"77","gjympwqvmt1dxyeh4ypy","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"78","gjympwqvmt1dxyeh4ypy","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"79","qwsgjk7dyqdbl4dri6rq","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",9,"directedRandom"
"80","qwsgjk7dyqdbl4dri6rq","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",8,"directedRandom"
"81","qwsgjk7dyqdbl4dri6rq","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"82","qwsgjk7dyqdbl4dri6rq","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"83","qwsgjk7dyqdbl4dri6rq","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"84","qwsgjk7dyqdbl4dri6rq","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"85","qwsgjk7dyqdbl4dri6rq","SQLite","ArtistSimilarity","PKCColumnR","IMPAIRED","true",4,"directedRandom"
"86","qwsgjk7dyqdbl4dri6rq","SQLite","ArtistSimilarity","NNCA","NORMAL","true",6,"directedRandom"
"87","qwsgjk7dyqdbl4dri6rq","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"88","qwsgjk7dyqdbl4dri6rq","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"89","qwsgjk7dyqdbl4dri6rq","SQLite","ArtistSimilarity","UCColumnA","EQUIVALENT","false",6,"directedRandom"
"90","qwsgjk7dyqdbl4dri6rq","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"91","qwsgjk7dyqdbl4dri6rq","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"92","2bovajgnadhhcu3p51gq","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",9,"directedRandom"
"93","2bovajgnadhhcu3p51gq","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",7,"directedRandom"
"94","2bovajgnadhhcu3p51gq","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"95","2bovajgnadhhcu3p51gq","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",8,"directedRandom"
"96","2bovajgnadhhcu3p51gq","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",7,"directedRandom"
"97","2bovajgnadhhcu3p51gq","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"98","2bovajgnadhhcu3p51gq","SQLite","ArtistSimilarity","PKCColumnR","IMPAIRED","true",4,"directedRandom"
"99","2bovajgnadhhcu3p51gq","SQLite","ArtistSimilarity","NNCA","NORMAL","true",6,"directedRandom"
"100","2bovajgnadhhcu3p51gq","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"101","2bovajgnadhhcu3p51gq","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"102","2bovajgnadhhcu3p51gq","SQLite","ArtistSimilarity","UCColumnA","EQUIVALENT","false",6,"directedRandom"
"103","2bovajgnadhhcu3p51gq","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"104","2bovajgnadhhcu3p51gq","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"105","40cuvuowoyzsp2kot0xg","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",9,"directedRandom"
"106","40cuvuowoyzsp2kot0xg","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",7,"directedRandom"
"107","40cuvuowoyzsp2kot0xg","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"108","40cuvuowoyzsp2kot0xg","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"109","40cuvuowoyzsp2kot0xg","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",7,"directedRandom"
"110","40cuvuowoyzsp2kot0xg","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"111","40cuvuowoyzsp2kot0xg","SQLite","ArtistSimilarity","PKCColumnR","IMPAIRED","true",4,"directedRandom"
"112","40cuvuowoyzsp2kot0xg","SQLite","ArtistSimilarity","NNCA","NORMAL","true",6,"directedRandom"
"113","40cuvuowoyzsp2kot0xg","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"114","40cuvuowoyzsp2kot0xg","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"115","40cuvuowoyzsp2kot0xg","SQLite","ArtistSimilarity","UCColumnA","EQUIVALENT","false",6,"directedRandom"
"116","40cuvuowoyzsp2kot0xg","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"117","40cuvuowoyzsp2kot0xg","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"118","lqof0hm4mx16vachureh","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",9,"directedRandom"
"119","lqof0hm4mx16vachureh","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",7,"directedRandom"
"120","lqof0hm4mx16vachureh","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"121","lqof0hm4mx16vachureh","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"122","lqof0hm4mx16vachureh","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",7,"directedRandom"
"123","lqof0hm4mx16vachureh","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"124","lqof0hm4mx16vachureh","SQLite","ArtistSimilarity","PKCColumnR","IMPAIRED","true",4,"directedRandom"
"125","lqof0hm4mx16vachureh","SQLite","ArtistSimilarity","NNCA","NORMAL","true",6,"directedRandom"
"126","lqof0hm4mx16vachureh","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"127","lqof0hm4mx16vachureh","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"128","lqof0hm4mx16vachureh","SQLite","ArtistSimilarity","UCColumnA","EQUIVALENT","false",6,"directedRandom"
"129","lqof0hm4mx16vachureh","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"130","lqof0hm4mx16vachureh","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"131","gn8cdevvjwngqapkrocd","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",9,"directedRandom"
"132","gn8cdevvjwngqapkrocd","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",8,"directedRandom"
"133","gn8cdevvjwngqapkrocd","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",9,"directedRandom"
"134","gn8cdevvjwngqapkrocd","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"135","gn8cdevvjwngqapkrocd","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",7,"directedRandom"
"136","gn8cdevvjwngqapkrocd","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"137","gn8cdevvjwngqapkrocd","SQLite","ArtistSimilarity","PKCColumnR","IMPAIRED","true",5,"directedRandom"
"138","gn8cdevvjwngqapkrocd","SQLite","ArtistSimilarity","NNCA","NORMAL","true",6,"directedRandom"
"139","gn8cdevvjwngqapkrocd","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"140","gn8cdevvjwngqapkrocd","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"141","gn8cdevvjwngqapkrocd","SQLite","ArtistSimilarity","UCColumnA","EQUIVALENT","false",6,"directedRandom"
"142","gn8cdevvjwngqapkrocd","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"143","gn8cdevvjwngqapkrocd","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"144","uxlv5nzxrpjff8jfmzyw","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",10,"directedRandom"
"145","uxlv5nzxrpjff8jfmzyw","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",9,"directedRandom"
"146","uxlv5nzxrpjff8jfmzyw","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",8,"directedRandom"
"147","uxlv5nzxrpjff8jfmzyw","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",9,"directedRandom"
"148","uxlv5nzxrpjff8jfmzyw","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"149","uxlv5nzxrpjff8jfmzyw","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",8,"directedRandom"
"150","uxlv5nzxrpjff8jfmzyw","SQLite","ArtistSimilarity","PKCColumnR","IMPAIRED","true",4,"directedRandom"
"151","uxlv5nzxrpjff8jfmzyw","SQLite","ArtistSimilarity","NNCA","NORMAL","true",7,"directedRandom"
"152","uxlv5nzxrpjff8jfmzyw","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"153","uxlv5nzxrpjff8jfmzyw","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"154","uxlv5nzxrpjff8jfmzyw","SQLite","ArtistSimilarity","UCColumnA","EQUIVALENT","false",6,"directedRandom"
"155","uxlv5nzxrpjff8jfmzyw","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"156","uxlv5nzxrpjff8jfmzyw","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"157","waaw2wfsphclezycstvk","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",9,"directedRandom"
"158","waaw2wfsphclezycstvk","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",7,"directedRandom"
"159","waaw2wfsphclezycstvk","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"160","waaw2wfsphclezycstvk","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",7,"directedRandom"
"161","waaw2wfsphclezycstvk","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",7,"directedRandom"
"162","waaw2wfsphclezycstvk","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"163","waaw2wfsphclezycstvk","SQLite","ArtistSimilarity","PKCColumnR","IMPAIRED","true",4,"directedRandom"
"164","waaw2wfsphclezycstvk","SQLite","ArtistSimilarity","NNCA","NORMAL","true",6,"directedRandom"
"165","waaw2wfsphclezycstvk","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"166","waaw2wfsphclezycstvk","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"167","waaw2wfsphclezycstvk","SQLite","ArtistSimilarity","UCColumnA","EQUIVALENT","false",6,"directedRandom"
"168","waaw2wfsphclezycstvk","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"169","waaw2wfsphclezycstvk","SQLite","ArtistSimilarity","UCColumnA","NORMAL","true",6,"directedRandom"
"170","rhlfckob45cahorlxbcm","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",9,"directedRandom"
"171","rhlfckob45cahorlxbcm","SQLite","ArtistSimilarity","FKCColumnPairR","DUPLICATE","true",9,"directedRandom"
"172","rhlfckob45cahorlxbcm","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",9,"directedRandom"
"173","rhlfckob45cahorlxbcm","SQLite","ArtistSimilarity","FKCColumnPairE","NORMAL","true",8,"directedRandom"
"174","rhlfckob45cahorlxbcm","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",8,"directedRandom"
"175","rhlfckob45cahorlxbcm","SQLite","ArtistSimilarity","PKCColumnA","DUPLICATE","true",6,"directedRandom"
"176","rhlfckob45cahorlxbcm","SQLite","ArtistSimilarity","PKCColumnR","IMPAIRED","true",4,"directedRandom"
"177","rhlfckob45cahorlxbcm","SQLite","ArtistSimilarity","NNCA","NORMAL","true",7,"directedRandom"
"178","rhlfckob45cahorlxbcm","SQLite","ArtistSimilarity","NNCA","NORMAL","true",5,"directedRandom"
"179","rhlfckob45cahorlxbcm","SQLite","ArtistSimilarity","NNCA","NORMAL","true",6,"directedRandom"
