"","identifier","dbms","schema","operator","type","killed","time","generator"
"1","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",36,"directedRandom"
"2","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",31,"directedRandom"
"3","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",31,"directedRandom"
"4","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",24,"directedRandom"
"5","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"6","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"7","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",25,"directedRandom"
"8","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",21,"directedRandom"
"9","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",21,"directedRandom"
"10","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",26,"directedRandom"
"11","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",22,"directedRandom"
"12","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",19,"directedRandom"
"13","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",22,"directedRandom"
"14","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",28,"directedRandom"
"15","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",29,"directedRandom"
"16","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","NNCA","NORMAL","true",25,"directedRandom"
"17","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","NNCA","NORMAL","true",39,"directedRandom"
"18","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","NNCA","NORMAL","true",15,"directedRandom"
"19","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","NNCA","NORMAL","true",17,"directedRandom"
"20","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",13,"directedRandom"
"21","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",12,"directedRandom"
"22","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",11,"directedRandom"
"23","fyfnp7j3kt8pzlp4hysd","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",11,"directedRandom"
"24","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",38,"directedRandom"
"25","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",29,"directedRandom"
"26","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",25,"directedRandom"
"27","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",29,"directedRandom"
"28","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",23,"directedRandom"
"29","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",21,"directedRandom"
"30","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",24,"directedRandom"
"31","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",21,"directedRandom"
"32","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",22,"directedRandom"
"33","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",29,"directedRandom"
"34","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",22,"directedRandom"
"35","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",20,"directedRandom"
"36","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",23,"directedRandom"
"37","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",21,"directedRandom"
"38","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",21,"directedRandom"
"39","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","NNCA","NORMAL","true",34,"directedRandom"
"40","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","NNCA","NORMAL","true",24,"directedRandom"
"41","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","NNCA","NORMAL","true",24,"directedRandom"
"42","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","NNCA","NORMAL","true",21,"directedRandom"
"43","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",17,"directedRandom"
"44","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",16,"directedRandom"
"45","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",15,"directedRandom"
"46","w6hheru9xtg86361rkib","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",16,"directedRandom"
"47","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",42,"directedRandom"
"48","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",30,"directedRandom"
"49","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",29,"directedRandom"
"50","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",30,"directedRandom"
"51","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",24,"directedRandom"
"52","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",23,"directedRandom"
"53","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",25,"directedRandom"
"54","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",21,"directedRandom"
"55","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",21,"directedRandom"
"56","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",27,"directedRandom"
"57","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",23,"directedRandom"
"58","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",20,"directedRandom"
"59","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",22,"directedRandom"
"60","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",20,"directedRandom"
"61","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",26,"directedRandom"
"62","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","NNCA","NORMAL","true",40,"directedRandom"
"63","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","NNCA","NORMAL","true",17,"directedRandom"
"64","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","NNCA","NORMAL","true",15,"directedRandom"
"65","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","NNCA","NORMAL","true",15,"directedRandom"
"66","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",13,"directedRandom"
"67","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",14,"directedRandom"
"68","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",12,"directedRandom"
"69","yvybjvwdwbih0dncl0uy","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",12,"directedRandom"
"70","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",40,"directedRandom"
"71","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",31,"directedRandom"
"72","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",26,"directedRandom"
"73","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",27,"directedRandom"
"74","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",23,"directedRandom"
"75","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"76","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"77","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",21,"directedRandom"
"78","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",22,"directedRandom"
"79","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",23,"directedRandom"
"80","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",22,"directedRandom"
"81","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",19,"directedRandom"
"82","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",23,"directedRandom"
"83","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",23,"directedRandom"
"84","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",26,"directedRandom"
"85","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","NNCA","NORMAL","true",41,"directedRandom"
"86","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","NNCA","NORMAL","true",30,"directedRandom"
"87","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","NNCA","NORMAL","true",18,"directedRandom"
"88","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","NNCA","NORMAL","true",20,"directedRandom"
"89","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",14,"directedRandom"
"90","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",12,"directedRandom"
"91","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",12,"directedRandom"
"92","ryaurhamjir8rnqrsmnl","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",12,"directedRandom"
"93","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",40,"directedRandom"
"94","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",37,"directedRandom"
"95","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",27,"directedRandom"
"96","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",25,"directedRandom"
"97","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"98","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",24,"directedRandom"
"99","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",23,"directedRandom"
"100","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",23,"directedRandom"
"101","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",23,"directedRandom"
"102","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",24,"directedRandom"
"103","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",24,"directedRandom"
"104","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",23,"directedRandom"
"105","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",24,"directedRandom"
"106","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",20,"directedRandom"
"107","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",20,"directedRandom"
"108","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","NNCA","NORMAL","true",32,"directedRandom"
"109","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","NNCA","NORMAL","true",23,"directedRandom"
"110","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"111","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","NNCA","NORMAL","true",15,"directedRandom"
"112","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",16,"directedRandom"
"113","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",14,"directedRandom"
"114","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",14,"directedRandom"
"115","k5txhir8n8nytladj90c","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",14,"directedRandom"
"116","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",47,"directedRandom"
"117","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",31,"directedRandom"
"118","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",33,"directedRandom"
"119","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",27,"directedRandom"
"120","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",23,"directedRandom"
"121","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"122","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",24,"directedRandom"
"123","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"124","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",24,"directedRandom"
"125","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",26,"directedRandom"
"126","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",24,"directedRandom"
"127","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",20,"directedRandom"
"128","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",21,"directedRandom"
"129","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",20,"directedRandom"
"130","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",20,"directedRandom"
"131","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","NNCA","NORMAL","true",30,"directedRandom"
"132","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","NNCA","NORMAL","true",18,"directedRandom"
"133","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","NNCA","NORMAL","true",17,"directedRandom"
"134","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"135","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",15,"directedRandom"
"136","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",15,"directedRandom"
"137","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",14,"directedRandom"
"138","xmf1mdvexsfvd5z3mwui","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",14,"directedRandom"
"139","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",36,"directedRandom"
"140","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",29,"directedRandom"
"141","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",25,"directedRandom"
"142","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",24,"directedRandom"
"143","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",21,"directedRandom"
"144","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"145","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"146","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",21,"directedRandom"
"147","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",21,"directedRandom"
"148","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",22,"directedRandom"
"149","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",22,"directedRandom"
"150","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",20,"directedRandom"
"151","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",22,"directedRandom"
"152","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",25,"directedRandom"
"153","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",22,"directedRandom"
"154","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","NNCA","NORMAL","true",26,"directedRandom"
"155","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","NNCA","NORMAL","true",34,"directedRandom"
"156","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","NNCA","NORMAL","true",21,"directedRandom"
"157","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"158","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",16,"directedRandom"
"159","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",19,"directedRandom"
"160","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",14,"directedRandom"
"161","g8bb8btzo9swtb7z9fnj","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",12,"directedRandom"
"162","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",35,"directedRandom"
"163","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",29,"directedRandom"
"164","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",29,"directedRandom"
"165","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",25,"directedRandom"
"166","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"167","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"168","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",23,"directedRandom"
"169","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",21,"directedRandom"
"170","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",23,"directedRandom"
"171","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",27,"directedRandom"
"172","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",24,"directedRandom"
"173","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",21,"directedRandom"
"174","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",25,"directedRandom"
"175","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",28,"directedRandom"
"176","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",21,"directedRandom"
"177","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","NNCA","NORMAL","true",35,"directedRandom"
"178","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","NNCA","NORMAL","true",25,"directedRandom"
"179","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","NNCA","NORMAL","true",18,"directedRandom"
"180","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","NNCA","NORMAL","true",20,"directedRandom"
"181","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",16,"directedRandom"
"182","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",17,"directedRandom"
"183","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",21,"directedRandom"
"184","nj8nfho2pz6yf4emqcos","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",17,"directedRandom"
"185","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",40,"directedRandom"
"186","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",30,"directedRandom"
"187","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",24,"directedRandom"
"188","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",24,"directedRandom"
"189","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",23,"directedRandom"
"190","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"191","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"192","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",20,"directedRandom"
"193","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",21,"directedRandom"
"194","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",22,"directedRandom"
"195","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",22,"directedRandom"
"196","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",21,"directedRandom"
"197","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",22,"directedRandom"
"198","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",22,"directedRandom"
"199","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",26,"directedRandom"
"200","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","NNCA","NORMAL","true",24,"directedRandom"
"201","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","NNCA","NORMAL","true",43,"directedRandom"
"202","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","NNCA","NORMAL","true",16,"directedRandom"
"203","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","NNCA","NORMAL","true",17,"directedRandom"
"204","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",15,"directedRandom"
"205","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",19,"directedRandom"
"206","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",19,"directedRandom"
"207","ne8z4qc6rtgainrzqtpn","HyperSQL","ArtistTerm","UCColumnA","NORMAL","true",17,"directedRandom"
"208","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",39,"directedRandom"
"209","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",31,"directedRandom"
"210","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",25,"directedRandom"
"211","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","FKCColumnPairR","NORMAL","true",27,"directedRandom"
"212","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"213","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",21,"directedRandom"
"214","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",22,"directedRandom"
"215","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","FKCColumnPairE","NORMAL","true",21,"directedRandom"
"216","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",22,"directedRandom"
"217","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",23,"directedRandom"
"218","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",22,"directedRandom"
"219","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","PKCColumnA","NORMAL","true",20,"directedRandom"
"220","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",22,"directedRandom"
"221","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",22,"directedRandom"
"222","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","NNCA","EQUIVALENT","false",22,"directedRandom"
"223","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","NNCA","NORMAL","true",36,"directedRandom"
"224","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","NNCA","NORMAL","true",26,"directedRandom"
"225","1djfcsfwb0ftg8mirbqy","HyperSQL","ArtistTerm","NNCA","NORMAL","true",22,"directedRandom"
